query,date,age,gender
125_ml_glass_bottles,20210128,55+,NULL
our_digital_services_are_helping_people_and_businesses_thrive,20210128,55+,Female
sustainability_themes_in_construction,20210128,Under 35,Male
why_are_rainforests_destroyed_because_of_palm_oil,20210128,35-54,Female
soya_alternatives_animal_nutrition,20210128,55+,Male
ikea,20210129,55+,Male
nouare_jewellery,20210129,55+,Female
winterwatch,20210129,55+,Female
tesco_green_bond,20210129,55+,Male
zouk_captial_how_to_invest,20210129,35-54,Male
great_crested_newt_project_natural_england,20210129,55+,Female
sustainable_nclothing_brandsz,20210129,Under 35,Male
thought_clothing,20210129,55+,Female
reco_plasticfree,20210129,35-54,Female
sustainable_business_definition,20210129,Under 35,Female
sustainable_shoes_adidas,20210129,35-54,Female
tesco_green_bond,20210129,55+,Male
royal_shell_art,20210130,55+,Male
nosh_instagram,20210130,35-54,Female
wikaniko,20210130,Under 35,Female
lupe_vacuum_cleaner,20210130,35-54,Female
new_sustainability_ruls_in_euroep,20210130,35-54,Female
design_for_garden_table,20210130,55+,Male
digital_hospital_introduction_quotes_inspirational,20210130,NULL,Female
food_miles_and_global_warning_gcse_bitesize,20210130,55+,Female
enel,20210131,Under 35,Male
teak_garden_furniture,20210131,35-54,Female
solid_wood_foldable_garden_furniture,20210131,35-54,Female
air_to_water_heating_systems,20210131,55+,Male
hampshire_primary_school_menu,20210131,55+,Male
aligneco,20210131,55+,Male
abdeen_m_omer,20210131,55+,Male
infrared_panel_heaters_uk,20210131,55+,Male
ed_gillespie,20210131,35-54,Female
fresh_meat_delivered_to_your_door,20210131,35-54,Male
role_of_higher_education_in_development,20210131,55+,Male
best_supermarket_for_chicken_welfare,20210131,35-54,Male
simec,20210201,35-54,Male
ferrero_rocher_plastic_box_is_it_recyclable_biodegradable,20210201,35-54,Female
bepure_beauty,20210201,35-54,Female
we_are_tala,20210201,Under 35,Female
wwwbreeamorg,20210201,35-54,Female
arket_blanket,20210201,Under 35,Female
genomatica_company_information,20210201,35-54,Female
garden_furniture,20210201,55+,Male
sustainable_supermarket_beef_range,20210201,35-54,Male
uk_sustainability_laws,20210201,35-54,Male
use_less,20210201,35-54,NULL
journals_on_environmental_sustainability,20210201,55+,Male
did_amazon_company_use_to_be_not_environmentally,20210201,NULL,Female
what_is_idea_behind_travelyst_logo,20210201,55+,Female
definition_de_la_biotechnologie_en_productions_animales,20210201,35-54,Male
g2ocean,20210201,55+,Male
brown_advisory_us_sustainable_growth,20210201,35-54,Female
we_are_tala,20210202,Under 35,Female
green_it_global_requiremnts,20210202,NULL,Male
porticus,20210202,35-54,Female
impact_of_covid_on_travel_sector,20210202,Under 35,Female
madani_prisoners_dilemma,20210202,Under 35,Male
101002jsc2372,20210202,35-54,Male
sustainability,20210202,35-54,NULL
garden_furnitue,20210202,55+,Male
aardagh_glass,20210202,35-54,Female
aspiga,20210202,55+,Female
aardagh_glass_uk_bases,20210202,35-54,Female
sustainable_products,20210202,NULL,Male
genuine_wealth_and_five_capitals,20210203,35-54,Female
dubai_oil,20210203,55+,Female
fundraising_regulator_logo_use,20210203,35-54,Female
restore,20210203,55+,Male
tesco_boys_jeans,20210203,35-54,Male
unusual_dining_furniture,20210203,35-54,Female
fresenius_medical_care_csr,20210203,55+,Male
151020_unsustainable_cattle_ranching_wwf,20210203,NULL,Male
use_less,20210203,35-54,NULL
fresenius_medical_care_csr,20210203,55+,Male
nottingham_top_environment_friendly_organisations,20210203,55+,Male
executive_education_climate_change,20210203,55+,Female
aquabio,20210204,55+,Male
preston_logs_for,20210204,55+,Male
recycled_clothing_wholesale_uk_supplier,20210204,Under 35,Male
why_is_the_production_of_denim_unstainabke,20210204,35-54,Male
global_think_tank_on_suateinability,20210204,35-54,Female
sitewhtimescouk,20210204,55+,Female
most_efficient_air_source_heat_pumps,20210204,55+,Male
aspiga,20210204,55+,Female
why_is_the_production_of_denim_sustainable,20210204,35-54,Male
slow_cooker_goat_stew,20210204,55+,Male
do_i_have_to_separate_terracycle_recycling,20210204,35-54,Female
sustainability_in_cafe,20210204,Under 35,Male
coley_vs_cod,20210204,NULL,Male
sustanable_women_underwear,20210204,Under 35,Female
ways_design_has_helped_sustainability,20210204,Under 35,Female
mossy_bottom_sligo,20210204,35-54,Male
gropyus,20210204,55+,Male
what_are_photographs_in_selfridges_window_display,20210204,55+,Female
air_to_air_multi_split_heat_pump_uk,20210204,55+,Male
sustainable_technology_for_self_build,20210204,Under 35,Female
organic_farming_sustainability,20210204,55+,Male
thought_clothing,20210204,35-54,Female
porticus_uk,20210204,35-54,Female
sustainable_palm_oil_con,20210204,35-54,Female
casa_di_langa_piemont_general_manager,20210205,35-54,Female
what_is_the_definition_for_sustainable_developmen,20210205,35-54,Female
bt_sustainability,20210205,55+,Male
readheads_winery_barossa_valley,20210205,55+,Male
aspiga,20210205,55+,Female
supermarkets_who_dont_use_palm_oil_in_their_products,20210205,55+,Female
what_is_the_shrink_resist_process,20210205,55+,Male
sustainable_development_pathways_pdf,20210205,35-54,Male
wooden_bike_grips,20210205,55+,Male
briwax,20210206,35-54,NULL
thought_clothing,20210206,55+,Male
thought_clothing,20210206,55+,NULL
hydrogen_power_v_wind_turbines,20210206,35-54,Female
community_clothing,20210206,55+,Female
peppermint_magazine,20210206,55+,Female
dievole_wines_direct,20210206,55+,Female
sustainable_gifts_for_first_home,20210207,55+,Female
fal_fish,20210207,55+,Male
knights_park_cambridge,20210207,55+,Female
the_impact_of_sustainability_on_an_organisations_business_model,20210207,Under 35,Female
statistics_interest_in_sustianble_clothing,20210207,Under 35,Female
sustainable_gifts_for_first_home,20210207,55+,Female
demings_chain_reaction,20210207,Under 35,Male
consumers_need_sustainability_education,20210207,35-54,Female
we_are_tala,20210207,Under 35,Female
mcnean_whisky,20210207,55+,Male
6_sharma_m_2018_development_of_a_green_building_sustainability_model_for_green_buildings_in_india_journal_of_cleaner_production_190_pp538551,20210207,35-54,Male
mcnean_whuisky,20210207,55+,Male
air_source_heat_pump,20210208,35-54,NULL
towards_sustainable_and_resilient_high_density_cities_through_better_integration_of_infrastructure_networks,20210208,Under 35,Male
fairtrade_foundation,20210208,35-54,Female
migration_and_development_pdf,20210208,35-54,Male
sovacool_three_pillars_of_sustainability,20210208,35-54,Female
we_are_tala_revenue_grace,20210208,Under 35,Female
queen_elizabeth,20210208,55+,Male
sustanable_women_underwear_uk_yahoo_search_results,20210208,Under 35,Female
thought_clothing,20210208,55+,Female
adam_hayes_and_hopson_7_stages,20210208,Under 35,Female
we_are_tala,20210208,Under 35,Female
thought_clothing,20210208,55+,Male
uk_glass_bottle_manufacturers,20210209,55+,Male
sustainability_in_business,20210209,35-54,Female
how_many_businesses_in_uk_are_sustainable,20210209,35-54,Female
solar_water_heating_systems,20210209,55+,Male
sustainablility,20210209,35-54,Female
evolution_finance,20210209,Under 35,Male
how_many_businesses_in_uk_are_sustainable,20210209,35-54,Female
sandwood_contstruction,20210209,35-54,Male
how_many_businesses_in_uk_are_sustainable,20210209,35-54,Female
air_source_heat_pump_reviews,20210209,55+,Male
the_benefits_provided_to_the_community_in_terms_of_housing_green_spaces_transport_hubs_employment_opportunities_and_security,20210209,35-54,NULL
how_sustainable_is_bamboo_paper,20210209,55+,Female
british_airways_deal_to_turn_alcohol_into_jet_fuel,20210209,NULL,Female
wgat_does_sustainability,20210210,55+,Male
who_is_in_quorn_2021_advert,20210210,55+,Male
evolution_finance,20210210,35-54,Male
how_vodafone_csr,20210210,35-54,Female
best_dividend_companies,20210210,35-54,Male
ideas_to_make_your_school_more_environmentally,20210210,35-54,Female
how_can_uk_industries_be_more_environmentally_sustainable,20210210,Under 35,Female
organic_meat_delivered_to_your_door_uk_delivery,20210210,NULL,Female
energy_efficient_heating,20210210,55+,Male
achievements_of_sk_chairmans,20210210,35-54,Male
thought_clothing,20210210,55+,Male
event_sustainability_literature_review,20210210,35-54,Female
leggings_for_women,20210210,55+,Female
maydencroft_land_advisory,20210210,55+,Male
copenhagen_tackling_climate_change,20210210,35-54,Female
iema,20210211,35-54,Female
dievole,20210211,55+,Female
importance_of_sustainbility_to_consumer,20210211,35-54,Male
rotterdam_the_hague_airport_consortium_for_saf,20210211,35-54,Female
unsustainable_development,20210211,55+,Female
dievole_wine,20210211,55+,Female
fiture_of_rolls_royce_uk,20210211,35-54,Male
importance_of_sustainbility_to_consumer,20210211,35-54,Male
thought_clothing,20210211,35-54,Female
aspiga,20210211,55+,Female
unsustainable_development,20210211,55+,Female
porticus,20210211,35-54,Female
cedo,20210211,35-54,Male
institute_for_evironmental_management_and_assessment,20210211,35-54,NULL
how_sustainable_is_my_business,20210211,35-54,Female
thought_clothing,20210212,55+,Male
sorc_sustain_help_bdo,20210212,Under 35,Male
plastic_water_bottles_563_lt,20210212,Under 35,Female
community_clothing,20210212,55+,Female
what_is_ecoal_50_made_from,20210212,55+,Female
fablegginscouk,20210212,55+,Male
uksustainable_period,20210212,Under 35,Female
blackrock_esg_funds,20210212,35-54,Female
orange_peel_silk,20210213,35-54,Female
dievole_wine,20210213,55+,Female
alternative_fish_to_cod,20210213,55+,Male
sustainability_centre,20210213,55+,Female
assessment_of_decentralization_of_municipal_waste_an_integrated_approach_for_sustainable_development_in_the_urban_areas_of_bangladesh,20210213,35-54,Male
green_finance_for_sustainable_greeen_economic_growth_in_india,20210213,35-54,Female
ecofriendly_gift_ideas,20210213,55+,Female
rhiofgem_biomass_rules,20210213,35-54,Male
gloucester_seasoned_wood,20210214,35-54,Female
epc_rating_uk,20210214,35-54,Female
the_impact_of_the_financial_economic_crisis_on_sustainability_transitions,20210214,35-54,Female
platowood_frake_afara,20210214,35-54,Male
vaillant_heat_pumps,20210214,55+,Female
outdoor_bench_seat_custions_108_x_35_cm,20210214,35-54,Female
fruit_shop_stroud,20210214,55+,Female
nibe,20210214,55+,Male
best_eco_heating_system_uk,20210214,55+,Male
english_green_ftse_companies,20210214,55+,Female
how_can_regulation_drive_sustainable_housing_development,20210214,55+,Male
ailenergy,20210214,55+,Female
liverpool_university_tackling_sustainable_materials,20210214,35-54,Female
chocolate_fountain_ealing,20210214,Under 35,Male
unesco_la_heiss_j_and_byun_wj_2018_issues_and_trends_in_education_for_sustainable_development,20210215,35-54,Female
bore_place_kent,20210215,Under 35,Female
sustainability_centre,20210215,55+,Female
cheap_wooden_benches_for_sale,20210215,35-54,Male
sustainable_aviation_news,20210215,35-54,Female
